{id=null, openid='oB4-Ttwl-OaFehPU1vH0i6-AtadA', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:24:03 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt8xfYeRG6-3NEXTkLHYUt94', sceneid='bbx_江苏省盐城市_其他_名片', qrId=1123, materielId=387, subscribe=Mon Oct 14 16:25:40 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Ttxb6Bsac9Be0uWppEnOcLy8', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:25:51 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-TtwHudNaHQz-_yr_ehHq_ZKk', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:26:03 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt_qm55o7WPBvbJ4E6-QnXFs', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:26:13 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt-eCevFAd9aEXaoc9PlIwPY', sceneid='bbx_福建省福州市_其他_展架', qrId=950, materielId=597, subscribe=Mon Oct 14 16:27:18 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt4venULgGbZ_bvVS1OOhP3Y', sceneid='last_trade_no_4200000436201910141817953451', qrId=null, materielId=null, subscribe=Mon Oct 14 16:27:41 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt848EV711bTcGwI6arse7Rg', sceneid='bbx_福建省厦门市_内车贴_15652483116', qrId=1421, materielId=113, subscribe=Mon Oct 14 16:27:46 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-TtyuX_m_0wbyOFQlisbbJqlw', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:30:17 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Ttzb9rvzedbhbYLBzi7jk0BA', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:30:47 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt4be1TigTK9LC9aB0simT6E', sceneid='bbx_福建省厦门市_福清下单流程_15259820229', qrId=843, materielId=75, subscribe=Mon Oct 14 16:30:52 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-TtyoV-GaYcH7Oo4QRwOod4SE', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:32:17 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt3Ya1KW8jM47M7ySq-Hmi8o', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:33:16 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt3qtkuMtJJKOV3LOrETKgtM', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:33:28 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-TtyMIW5HXLrxI5mb-uoCLmjE', sceneid='bbx_福建省厦门市_唐县名片_18233299042', qrId=1605, materielId=746, subscribe=Mon Oct 14 16:33:39 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt_rg0r5SZxEy5iR7A84erqk', sceneid='qrscene_materiel_922_1864', qrId=1864, materielId=922, subscribe=Mon Oct 14 16:35:13 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt2Mepz71E7emR_LpWzJiMzw', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:35:26 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt9JbcWLv7LY7zZZwq181c74', sceneid='qrscene_focus_bbx_0_49235124130259328101', qrId=null, materielId=null, subscribe=Mon Oct 14 16:35:53 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-TtwzLNH1fLIYpMPYy8wpP8KI', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:37:22 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt5sDvYfQf2gRrp2Mr1HSzFM', sceneid='qrscene_materiel_939_1881', qrId=1881, materielId=939, subscribe=Mon Oct 14 16:37:34 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-TtyzHyoof0reBdJSdwoKIDr0', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:38:32 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt9cPzOiXqWTeau1XFwdD9rg', sceneid='bbx_福建省厦门市_唐县台卡_18233299042', qrId=1607, materielId=748, subscribe=Mon Oct 14 16:38:46 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt0198X9KNk2TrrRVszySfFA', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:38:53 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt93ri7nLxW2maWanH80B910', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:38:54 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt88P1hKVKM4vIOdH4v22ukU', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:39:03 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-TtxIuTz4Q8SWVDc6IRutzByA', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:39:19 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Ttxoq_J95NKHfL7uUHn0A2DM', sceneid='qrscene_materiel_783_1666', qrId=1666, materielId=783, subscribe=Mon Oct 14 16:40:20 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-TtxJu3iMGkOVvVYt-PJa2yOw', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:40:27 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt483fsmUz1T_SC3f31m4B5g', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:41:06 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt_4_NBXDCre1pTfvmgXY4jY', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:41:33 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt3iDnfYdGDQmDu471zX8OO0', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:42:00 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-TtzeHBTaYT52I_6I9QmLtwGY', sceneid='qrscene_materiel_942_1883', qrId=1883, materielId=942, subscribe=Mon Oct 14 16:42:13 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-TtwClS0gYURznb1-rJhRevC4', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:42:47 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Ttye_LtufJYHlNn4Jz5-aLv0', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:44:15 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt0-p582M14zDLhYWGXlGxNQ', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:44:18 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-TtzO3uaMKJPd2FFq4q3lubVg', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:44:25 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Ttzh_pbq2QZ6eacYIxPw34MI', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:44:55 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt1HG6Fb2w0AejGLvyMPWfMA', sceneid='qrscene_materiel_696_1537', qrId=1537, materielId=696, subscribe=Mon Oct 14 16:45:30 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-TtxoEUXYEKZvjeBg-vp8NYq4', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:45:34 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt-qB03L6PVPkbjGtqpNvGwo', sceneid='last_trade_no_4200000426201910143925463851', qrId=null, materielId=null, subscribe=Mon Oct 14 16:47:07 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt-DzeGKmpCBcxU962qQrVz4', sceneid='qrscene_materiel_939_1881', qrId=1881, materielId=939, subscribe=Mon Oct 14 16:47:11 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt7codt5gnTw8Eovl3QtKEu0', sceneid='bbx_福建省厦门市_唐县名片_18233299042', qrId=1605, materielId=746, subscribe=Mon Oct 14 16:47:30 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt4GcDKXm-Tvi7f4gRahAX48', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:47:39 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt3VyM4oQamnO8_u_HYnasvg', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:47:43 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt0hKOdSWU3jCD-ejiT2Inys', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:47:45 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt1qYBKHxxJcld0pYGGtqcfE', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:47:53 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Ttw8s6ROO48f6-jomHryYsDc', sceneid='bbx_福建省厦门市_黄冈宣传单_15652483116', qrId=1420, materielId=112, subscribe=Mon Oct 14 16:48:06 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt2cKfR2zFaPuoAhMlxREe4M', sceneid='null', qrId=null, materielId=null, subscribe=Mon Oct 14 16:49:07 CST 2019, unSubscribe=null, type=1}
{id=null, openid='oB4-Tt8kddpN34K_VGccGZ7KrkwM', sceneid='last_trade_no_4200000432201910146945771261', qrId=null, materielId=null, subscribe=Mon Oct 14 16:49:15 CST 2019, unSubscribe=null, type=1}
